s0035	b0626	b0772	b0521	b0434	b0565	s0162	b0404	s0104	b0679	s0170	s0040	s0026	s0146	s0086	b0566	b0627	s0033	s1551	b0339	s0047	s0200	b0252	s0176	b0165	s0177	s0025	b0394	s0190	b0326	s0087	b0340	s0019	s0154	b0344	b0354	s0042	s0004	b0243	b0574	s0138	s0050	s0168	b0671	b0551	s0350	b0341	b0251	b0433	s0201	b0629	s0006	s0055	s0132	b0504	s0084	b0515	b0519	b0502	b0554	s0071	s0018	s0001	b0305	b0382	b0672	s0060	s0103	b0421	b0694	s0037	s0107	b0338	b0334	b0542	s0046	b0241	b0499	s0106	b0668	s0077	s0080	s0100	b0370	s0205	b0428	b0374	s0059	s0181	b0556	s0067	b0512	s0116	b0336	b0664	b0318	s1511	s0013	b0244	s0210	b0383	b0494	s0204	s1616	s0183	b0327	s0136	s0195	s0229	s0109	s0101	s0175	b0387	b0427	b0667	s0088	s0141	b0359
PROTEINACEOUS_EXTRACELLULAR_MATRIX	0.0529635467151524	-0.000464479476658397	0.574904190751657	0.783119574787898	-0.220806442830204	-0.339624155486834	0.143169705524285	0.378128219191798	-0.143737284020858	0.260484897199376	0.377996105731808	0.283853062476835	1.41526544537141	1.21202691703357	0.773618331248611	1.12278240899561	1.30660522854353	-0.603565508979951	-0.574852908825746	-0.610807685850777	-1.11842867241329	-2.1795763678072	-2.03740330894667	-0.854284039777531	-0.318790302452035	-0.428956990865175	-0.986204381547092	-0.901782547340223	-0.631848886409517	-1.26984098314045	-0.790598718426983	-0.518049383556164	0.26998515654007	0.296971848548842	0.304587739877359	0.69921693170953	-0.16411843575432	0.536364637382883	-1.91651905962105	-1.52530048658943	-2.38299467669371	-0.493161900473347	-0.863710068044349	-0.657097899133176	-0.816336654358932	-0.431339055771284	-0.0108987103147085	-1.60722316767018	-0.00690649187673177	0.190288283185905	-0.281244434324919	-0.316261949089168	0.0113274499100721	-0.160185124660913	-0.930844012119445	-0.376100447425664	-0.280367573671158	-0.0839857413007738	-0.116367104692849	0.465326204544001	0.506917662253468	-0.1005217936777	-0.0500827857357767	-0.0253674406095504	0.162626056633426	0.18971704759668	0.275357985697868	0.269184388758074	0.509158253099678	0.2311716957594	0.527681866933237	0.800802831832181	0.899332181766119	0.747925005409332	0.671529471585772	0.615441607965792	0.642644105665247	1.09328352121777	1.36739337782278	1.00834687637811	1.20172941305052	1.54361888928633	0.941746043484078	1.01673122785135	1.07032231695386	1.06308470341519	1.16985375284439	1.13359370012095	0.49623843164236	0.502399814570669	0.452174869629042	0.891267401046754	0.807090202432327	1.02627759136879	1.08655052427731	1.22625567545592	1.29073072851065	-2.63951478417198	-1.73338792718228	-1.6843558073468	-1.22976785353666	-1.23063496590363	-0.87272804913534	-0.731536962697153	-0.557554470316179	-1.36228224738794	-0.438620881169706	-0.984231773954989	-0.389096647090356	0.123751588282059	-0.0194935936957862	0.836407558876744	0.392024490796878	0.305590289460585	-0.148451015556085	0.393156228623528	0.501353680991249	0.698766096290681
EXTRACELLULAR_MATRIX_PART	0.061540264583628	0.0114978049777055	0.823909847584257	0.717119514779373	-0.276950640627101	-0.49744887177572	0.118427071388256	0.335006672630335	0.0488023977882786	0.194847232406656	0.28210441330238	0.356148528034955	1.39086278020172	1.21338350989544	0.89285538938485	1.23998286603661	1.22975005341438	-0.572593886531454	-0.60187796343182	-0.627740461056607	-1.1579451596532	-2.40218096695474	-2.16150457923656	-0.85379037949467	-0.432486507289654	-0.677058268781544	-1.01197982619949	-0.742235843525369	-0.683685112192132	-1.38744677745833	-0.933406611112431	-0.65483685490787	0.282458605789674	0.198188605816351	0.197139068579984	0.581649667172627	0.0250682952988576	0.476497301910412	-2.04963436085434	-1.57595062397692	-2.48894271787222	-0.649832002204723	-0.846296906309562	-0.666302646524644	-0.93914128775305	-0.530651630292124	0.0135495004525422	-1.59318741163349	0.0993483524454735	0.168786975946222	-0.389812148010707	-0.206112622958939	0.0622392945266017	-0.245714440869781	-0.889871326887953	-0.457491038597419	-0.173725010407467	-0.118085242324192	-0.0730705173215908	0.357114738749625	0.641749072777788	0.0229938759826518	0.0769908683725118	-0.089407706851213	0.204847481152277	0.0910108847788048	0.229917192899046	0.289758278396592	0.373961294867283	0.143965463175953	0.521860334940155	0.861298329800771	0.989701755324731	0.641061922028233	0.597823332310661	0.598393901776179	0.576532662167849	1.05290003656291	1.44334832515669	1.08140286374727	1.11911068622645	1.62535155262054	1.12170887791371	1.09200021319327	1.18524196188258	1.24029753354659	1.08819980415284	1.27210588419415	0.599095914169005	0.725404855128714	0.576151716884732	0.825301555717045	0.765748694746335	0.951207847898323	1.06728408445971	1.25614012093931	1.3318170929219	-2.79371022455259	-1.76607861695159	-1.44888306230629	-1.17104892752473	-1.08418726671823	-0.988286645082812	-0.558769787541862	-0.50037019179707	-1.38317377877599	-0.448991582909138	-0.894168945096908	-0.419499160096715	0.0845644596953115	0.231135828919822	0.720116589947949	0.44765744159738	0.503162224398421	-0.0581231235983948	0.296266635938594	0.461075315166745	0.769746143256316
MEMBRANE	-0.339931996645425	0.0952276393432714	-0.344741667413247	-0.108627747899808	1.46026222918615	-0.788735072694945	-0.251612478047736	-0.783256169786521	-0.653198690757367	0.0898347808265248	-1.19149688744353	-0.948250617525814	-0.893654406495459	-0.940509543602972	-1.18053039622722	-0.983525120764333	0.385905715051341	-0.706866093304621	-0.796621007683486	-1.01568558814696	-0.974735426845471	-0.461493299777027	0.555628607586891	0.112747061438529	0.288960262349329	0.763243962543352	1.24769969487975	1.70549685975782	0.981270261670957	0.827317296952041	0.302113114735466	0.767621504634808	-0.0985539729259403	-0.0690814686766147	0.677867524581285	0.762573972587579	1.76545066781164	1.88463777787697	1.86552391963325	3.29772154324768	2.69982615461876	-0.863981423964374	-0.871211859926449	-0.952432910862455	-1.13577869765959	-0.528665307986731	-0.784005548133548	-0.778341921304966	-0.098914637759471	-0.414743470603046	-0.972355310496278	-0.97166557305479	-0.90696574493965	-0.860844946544896	2.23513428207506	1.38266848691369	1.40367114698959	1.26027699768099	1.23226908616643	1.3134887061205	1.51250649134108	0.507000541571626	0.473691585652352	0.899906313885997	1.14667645689632	0.903837378096595	-0.551826422061289	-0.463098754242332	-0.979473220091718	-0.705408057911483	-0.802201291607796	-0.177219560993374	-0.384626086191312	0.224930557437021	0.0580396423936592	0.0283339542552	0.970596407460159	-0.384784053442567	-0.429235003803505	-0.967024341439806	-0.664625611945972	-0.0196646930535218	-0.829971186159268	-0.727758220741557	-0.710169545014355	-0.714158315660395	-0.754399988366327	-0.64557318818016	-1.12322771459633	-0.684466104294121	-0.716457634957537	-0.121348120592271	-0.501142941345286	-0.875915642329398	-0.890563488019426	-0.651077984076177	-0.532137970579371	-0.140581653481042	0.467212807577792	-0.113701307106763	0.440594267443945	0.691155148406515	-0.113779313586078	-0.7061249393932	1.50866459385763	1.70922193238372	1.12199329450294	0.783559520813259	0.132543727360247	-0.00931178615503805	-0.36108488850358	0.454219051375628	-0.182841149738304	0.303895515228728	-0.520139395093008	-0.87686887628498	-1.33970063360296	-0.66031435465782
NON_MEMBRANE_BOUND_ORGANELLE	-1.45836631314214	-1.48662387884494	-1.871709603754	-1.40280395565456	-1.25720393453305	-1.6752731517232	-1.99289412515511	-1.32501875548974	-1.2003854761235	-1.18058648706038	-1.09457043864626	-0.904363123504036	-1.38880624144189	-1.22127200658389	-1.27565668616961	-0.90601054970392	-1.11965257491603	-0.826238893300726	-0.864758076134072	-1.01897071014492	-0.970730104859038	-1.38425044786774	-0.578060029991774	-0.69268878286238	-0.317397744830257	-0.423572254155869	-0.481176408968504	-0.438513381385861	-0.718314145713512	0.069647771775159	-0.0138152654952549	0.263471748760621	-0.317790944448384	-0.124733431723584	-0.228937171435588	0.00192753854646978	-0.0883831580731789	-0.00414517072510858	-0.426619998308909	-0.0662804341746146	0.883461296425111	-0.533176641488387	-0.436386068541496	-0.0770803614840401	0.141601468866396	-0.345955452901702	-0.123503935548089	0.0658660917747821	0.271656829432709	0.589541003739016	0.353661321877673	0.50870741848666	0.605376956816877	0.616445153982261	0.674193555356719	0.891616717364746	0.438644495077397	0.21268235335194	0.293726545063531	0.6985539938574	0.691409139031953	0.774310577202917	0.57718912992606	0.577462332503711	0.443492999729708	0.615195390643015	-0.584275798290716	-0.582522004060403	-0.506874850528997	-0.688203065740427	-0.701709839554044	-0.544805682069202	-0.314652443877259	-0.583934237987962	-0.266572630695002	-0.920070523501446	-0.604209194957777	-0.733673658455133	-0.665921180823975	-0.375020138472727	-0.405533736942047	-0.153788627707148	-0.161620006803639	-0.181328633099557	-0.240735451979746	-0.118389008331682	-0.0282465043035201	-0.120741260739416	-0.115302634582377	-0.0147670912420302	0.324049739845634	0.60871511622585	0.708033179451965	0.436077778576783	0.39064638975709	0.342866866581006	0.617607536276711	1.46239868189533	1.46073131912267	1.99470722315353	0.774669427263523	1.1343160739763	1.05660980806387	1.30242661501662	2.05725440082751	1.58576161993506	1.39054802992024	1.62616533480298	1.89862913061825	1.22905866222475	1.73384051497325	1.27970830640705	1.08354785839493	1.15016014404161	1.10571709460083	0.942011794386386	1.35919009754386	1.56028394827911
ORGANELLE_PART	-1.42124411583621	-1.42317058246104	-1.84342334827063	-1.31537277787031	-1.27297330561	-1.8868104608557	-2.07239487573589	-1.36532821835209	-1.24734707663003	-1.15609732295047	-1.13280256148717	-0.822963107448688	-1.31147959440304	-1.10451695733388	-1.24993709091205	-0.960417972038969	-1.00975728534308	-0.893693203861111	-0.811890990304421	-1.01296742073332	-0.921969239046084	-1.34297046371603	-0.899939884839741	-0.809160035940512	-0.37308092887127	-0.223158897224226	-0.527251048905121	-0.639153954545109	-0.72601212021729	0.132323331200345	-0.163523904360319	0.129761944808462	-0.290043894367683	-0.040942651087178	-0.233315934562322	0.0146932731755638	-0.135748150894474	-0.124785251638369	-0.617033104059728	-0.254524883991906	0.76491407455662	-0.565988603322673	-0.303146086829497	0.0526042124765112	0.0384090849252687	-0.192090262176433	0.0763681073171402	0.0414070079268791	0.377598611569759	0.495964722674423	0.495364169719286	0.439636670720373	0.480488120922333	0.791061642152009	0.660522076952845	0.719193463188522	0.129492093495608	0.290474672984542	0.288309250346993	0.42337990074951	0.585223443241867	0.567665938481816	0.608674094415337	0.528350599952726	0.336708582562471	0.572735790268844	-0.514359323103216	-0.478520900379315	-0.379184297033564	-0.715421665717304	-0.774257350691207	-0.646461460049557	-0.45119215066272	-0.461544297925474	-0.305387975097253	-0.680703127379765	-0.572207530299599	-0.70930756043846	-0.674459332772781	-0.401625995524459	-0.316121672726178	-0.113845868025873	-0.0662525505120111	-0.0345105655961954	-0.119696393596624	-0.0583510897553987	0.10048732507225	-0.0025573420659054	0.0920939241245112	-0.111955661380884	0.205150375703989	0.536018939655059	0.845125676196195	0.405719545919637	0.661736777051541	0.487168164487778	0.52621769552127	1.52500959227968	1.48039104621227	1.9911201141069	0.88281308877809	1.0314955911028	1.25062567532732	1.29163307565921	2.03344339831689	1.47059680389177	1.31557925095367	1.66120499297642	1.7549068737276	1.50149617528784	1.68505152642061	1.21886075247764	1.03816136083115	1.26230504867086	1.14851419287867	1.16773677196679	1.31109551854263	1.36326752484084
SPINDLE	-1.54646231999828	-1.39755166979648	-1.91093058146393	-1.4341864495722	-1.32008877690625	-2.01086896086132	-2.25763420312986	-1.35927594571862	-1.08637794761248	-1.13059543538055	-1.11155811804632	-0.929683404028056	-1.36544022443376	-1.30449130293504	-1.33071748429979	-0.984632150765577	-1.08945566675283	-0.802537527523209	-0.664822465591729	-0.978649744403588	-0.942644577964555	-1.18170449943655	-1.04901152893775	-0.625033697682055	-0.384938916563997	-0.292802700117882	-0.435178171844433	-0.407775308085165	-0.600412853349934	0.101833400091227	-0.0767812897520304	0.167492611706312	-0.328273390342843	-0.0939452995642485	-0.247922505818464	0.10448880037922	-0.0252500698021458	-0.0896846801812951	-0.601321802676864	-0.134685694989183	0.736936291810758	-0.280955948538178	-0.361290566497451	-0.0661433439497157	0.159996424188482	-0.0644164541848715	-0.00746766849590955	0.209710147845437	0.285849612481306	0.617509586283588	0.528222538651509	0.765863057071545	0.645379155222851	0.641955096376594	0.562427678585896	0.764269944839615	0.281173461886741	0.350260726097856	0.461007664964324	0.52198461735159	0.530961528087714	0.497995902262648	0.618668970570887	0.353260292384473	0.468240051111361	0.632285440120145	-0.485928635610836	-0.497153747289152	-0.447500893145386	-0.597149126563844	-0.716713461318152	-0.470532334638457	-0.312509757926713	-0.500883761765082	-0.312832753335299	-0.62673318222076	-0.636442437738621	-0.659231859623189	-0.556255773934791	-0.421230526179268	-0.418792741450739	-0.148981673331716	-0.0896954800625767	-0.239729938773955	-0.148701567007199	-0.081350123334589	-0.0679165094440367	0.122809474838982	-0.052962777608878	0.351690223655735	0.473713533964122	0.544584918158728	0.902479015467916	0.311874802350443	0.483792824929931	0.399741166481068	0.441197380030159	1.39349070808637	1.55199268491735	1.77661872431985	0.905791583924774	1.03865523119793	1.16878751133511	1.462445569259	1.81843649788931	1.39805813857797	1.25261295977329	1.69305947056814	1.49402240898887	1.38258258924115	1.41805828205533	0.978354174384949	0.981342283352244	1.11911143422048	1.04217138327939	1.05905203415971	1.36657646536476	1.46195393515352
CYTOSKELETON	-1.5974819390496	-1.46723262693464	-1.87072970243181	-1.43332995773352	-1.3323256328481	-2.01790701844836	-2.27645418133452	-1.31970093822954	-1.15658498903384	-1.12221176450619	-1.11094486938364	-0.945056674043877	-1.39791522245386	-1.25179689485483	-1.2806485898895	-0.954735274732099	-1.09535985537026	-0.778697686423624	-0.718858349962848	-0.955047993126913	-0.926716060844467	-1.10365150722564	-1.04451722643601	-0.690527678368176	-0.411172535023697	-0.324585261086404	-0.480040947281466	-0.384882234545366	-0.636387996370347	0.0883781948313344	-0.0173435393815301	0.210168968043507	-0.371375972734823	-0.0748482103726977	-0.238037277052377	0.0875474716074983	-0.0753658666506947	-0.0733091687431326	-0.568035069008942	-0.109374311837328	0.788073033921356	-0.574940761910071	-0.356875780765309	-0.0296001281477	0.1090090873439	-0.103940863008094	0.0180267551423304	0.0707419131872521	0.35199875419958	0.582679177799718	0.525288475625573	0.6000579522242	0.550875326315096	0.681461825173455	0.567086568684912	0.869065942745879	0.268517867933753	0.381563988418877	0.40556666830875	0.614248646929323	0.484605224734703	0.591876240689481	0.653373070837744	0.402206209293824	0.517107156740069	0.59226540824797	-0.536027665740996	-0.427345639965489	-0.495903284924906	-0.651977388305954	-0.702180246436796	-0.511469449555079	-0.323640026510518	-0.436346796179427	-0.301969452476701	-0.635403851471288	-0.581838656414817	-0.738846624140205	-0.671002668528196	-0.375026016732313	-0.378470812700493	-0.121354209868207	-0.0857126749195158	-0.138243482683975	-0.123442783650396	-0.112618565248427	0.00785414966896332	0.0816914844855526	-0.013786756103342	0.232229787003182	0.44897433489879	0.531073313161839	0.907559288331843	0.305263727255586	0.49365151299483	0.39185637348654	0.505691350292727	1.47964086773502	1.47885688481729	1.88091857781501	0.832807954682907	1.14687494402708	1.18527966981006	1.36556682922578	1.90581512711107	1.45032846847261	1.32137491955562	1.6037193207194	1.48611333165809	1.37259598645532	1.49851541401095	1.01102572478638	1.07312776718869	1.0701358478268	1.11026853732913	1.00459492694818	1.36441367486965	1.48154558453796
MICROTUBULE_CYTOSKELETON	-1.5974819390496	-1.46723262693464	-1.87072970243181	-1.43332995773352	-1.3323256328481	-2.01790701844836	-2.27645418133452	-1.31970093822954	-1.15658498903384	-1.12221176450619	-1.11094486938364	-0.945056674043877	-1.39791522245386	-1.25179689485483	-1.2806485898895	-0.954735274732099	-1.09535985537026	-0.778697686423624	-0.718858349962848	-0.955047993126913	-0.926716060844467	-1.10365150722564	-1.04451722643601	-0.690527678368176	-0.411172535023697	-0.324585261086404	-0.480040947281466	-0.384882234545366	-0.636387996370347	0.0883781948313344	-0.0173435393815301	0.210168968043507	-0.371375972734823	-0.0748482103726977	-0.238037277052377	0.0875474716074983	-0.0753658666506947	-0.0733091687431326	-0.568035069008942	-0.109374311837328	0.788073033921356	-0.574940761910071	-0.356875780765309	-0.0296001281477	0.1090090873439	-0.103940863008094	0.0180267551423304	0.0707419131872521	0.35199875419958	0.582679177799718	0.525288475625573	0.6000579522242	0.550875326315096	0.681461825173455	0.567086568684912	0.869065942745879	0.268517867933753	0.381563988418877	0.40556666830875	0.614248646929323	0.484605224734703	0.591876240689481	0.653373070837744	0.402206209293824	0.517107156740069	0.59226540824797	-0.536027665740996	-0.427345639965489	-0.495903284924906	-0.651977388305954	-0.702180246436796	-0.511469449555079	-0.323640026510518	-0.436346796179427	-0.301969452476701	-0.635403851471288	-0.581838656414817	-0.738846624140205	-0.671002668528196	-0.375026016732313	-0.378470812700493	-0.121354209868207	-0.0857126749195158	-0.138243482683975	-0.123442783650396	-0.112618565248427	0.00785414966896332	0.0816914844855526	-0.013786756103342	0.232229787003182	0.44897433489879	0.531073313161839	0.907559288331843	0.305263727255586	0.49365151299483	0.39185637348654	0.505691350292727	1.47964086773502	1.47885688481729	1.88091857781501	0.832807954682907	1.14687494402708	1.18527966981006	1.36556682922578	1.90581512711107	1.45032846847261	1.32137491955562	1.6037193207194	1.48611333165809	1.37259598645532	1.49851541401095	1.01102572478638	1.07312776718869	1.0701358478268	1.11026853732913	1.00459492694818	1.36441367486965	1.48154558453796
CYTOSKELETAL_PART	-1.5974819390496	-1.46723262693464	-1.87072970243181	-1.43332995773352	-1.3323256328481	-2.01790701844836	-2.27645418133452	-1.31970093822954	-1.15658498903384	-1.12221176450619	-1.11094486938364	-0.945056674043877	-1.39791522245386	-1.25179689485483	-1.2806485898895	-0.954735274732099	-1.09535985537026	-0.778697686423624	-0.718858349962848	-0.955047993126913	-0.926716060844467	-1.10365150722564	-1.04451722643601	-0.690527678368176	-0.411172535023697	-0.324585261086404	-0.480040947281466	-0.384882234545366	-0.636387996370347	0.0883781948313344	-0.0173435393815301	0.210168968043507	-0.371375972734823	-0.0748482103726977	-0.238037277052377	0.0875474716074983	-0.0753658666506947	-0.0733091687431326	-0.568035069008942	-0.109374311837328	0.788073033921356	-0.574940761910071	-0.356875780765309	-0.0296001281477	0.1090090873439	-0.103940863008094	0.0180267551423304	0.0707419131872521	0.35199875419958	0.582679177799718	0.525288475625573	0.6000579522242	0.550875326315096	0.681461825173455	0.567086568684912	0.869065942745879	0.268517867933753	0.381563988418877	0.40556666830875	0.614248646929323	0.484605224734703	0.591876240689481	0.653373070837744	0.402206209293824	0.517107156740069	0.59226540824797	-0.536027665740996	-0.427345639965489	-0.495903284924906	-0.651977388305954	-0.702180246436796	-0.511469449555079	-0.323640026510518	-0.436346796179427	-0.301969452476701	-0.635403851471288	-0.581838656414817	-0.738846624140205	-0.671002668528196	-0.375026016732313	-0.378470812700493	-0.121354209868207	-0.0857126749195158	-0.138243482683975	-0.123442783650396	-0.112618565248427	0.00785414966896332	0.0816914844855526	-0.013786756103342	0.232229787003182	0.44897433489879	0.531073313161839	0.907559288331843	0.305263727255586	0.49365151299483	0.39185637348654	0.505691350292727	1.47964086773502	1.47885688481729	1.88091857781501	0.832807954682907	1.14687494402708	1.18527966981006	1.36556682922578	1.90581512711107	1.45032846847261	1.32137491955562	1.6037193207194	1.48611333165809	1.37259598645532	1.49851541401095	1.01102572478638	1.07312776718869	1.0701358478268	1.11026853732913	1.00459492694818	1.36441367486965	1.48154558453796
