Symbol	Distance from center	Core Coherent
TPX2	0.0738789714463587	Yes
DLG7	0.0900216041609717	Yes
CENPF	0.097498840342595	Yes
BUB1	0.0992323647158935	Yes
CDC20	0.106920412953689	Yes
BIRC5	0.107308951271587	Yes
TTK	0.119032888932459	Yes
PRC1	0.121656657548299	Yes
CDC2	0.142116722419003	Yes
AURKA	0.164321411047497	Yes
